iter	Passed	Remaining
0	507	506710
1	508	253727
2	509	169465
3	511	127354
4	520	103638
5	522	86549
6	524	74343
7	525	65146
8	526	58017
9	535	53028
10	537	48292
11	538	44350
12	539	40996
13	541	38127
14	544	35735
15	546	33580
16	547	31677
17	549	29987
18	551	28452
19	552	27063
20	553	25819
21	555	24693
22	557	23698
23	559	22746
24	560	21862
25	561	21048
26	563	20295
27	564	19598
28	565	18947
29	567	18338
30	571	17866
31	573	17337
32	574	16832
33	575	16362
34	577	15914
35	578	15491
36	579	15092
37	580	14707
38	584	14413
39	586	14075
40	587	13751
41	589	13439
42	590	13140
43	591	12856
44	593	12588
45	594	12329
46	597	12113
47	599	11889
48	600	11662
49	602	11443
50	603	11235
51	606	11051
52	607	10857
53	608	10667
54	612	10522
55	614	10353
56	615	10182
57	616	10016
58	617	9856
59	619	9704
60	620	9554
61	622	9410
62	623	9273
63	626	9158
64	628	9035
65	629	8912
66	632	8807
67	634	8692
68	635	8578
69	639	8498
70	641	8391
71	642	8282
72	643	8177
73	645	8080
74	647	7980
75	648	7882
76	649	7787
77	653	7719
78	654	7634
79	656	7548
80	657	7464
81	659	7384
82	661	7306
83	662	7225
84	664	7148
85	668	7101
86	669	7028
87	671	6954
88	672	6882
89	673	6811
90	674	6738
91	675	6671
92	677	6604
93	678	6537
94	682	6505
95	684	6449
96	688	6406
97	690	6354
98	691	6295
99	694	6252
100	696	6198
101	698	6146
102	700	6097
103	701	6046
104	703	5996
105	708	5973
106	709	5923
107	711	5873
108	712	5824
109	714	5783
110	721	5781
111	723	5734
112	724	5689
113	726	5645
114	727	5600
115	728	5553
116	732	5525
117	736	5503
118	737	5463
119	739	5421
120	740	5381
121	743	5353
122	750	5350
123	751	5310
124	753	5271
125	754	5236
126	755	5195
127	756	5156
128	766	5177
129	768	5141
130	769	5107
131	771	5073
132	776	5061
133	779	5040
134	781	5007
135	782	4969
136	783	4937
137	786	4914
138	793	4914
139	794	4883
140	796	4853
141	798	4823
142	800	4794
143	806	4797
144	808	4767
145	810	4738
146	811	4710
147	813	4681
148	814	4653
149	821	4653
150	823	4629
151	825	4602
152	826	4575
153	828	4549
154	829	4523
155	832	4503
156	833	4477
157	835	4450
158	836	4426
159	838	4401
160	840	4378
161	841	4354
162	844	4335
163	845	4312
164	847	4290
165	850	4272
166	857	4276
167	859	4256
168	861	4234
169	862	4211
170	864	4189
171	866	4170
172	870	4160
173	872	4142
174	875	4126
175	878	4112
176	880	4092
177	882	4074
178	886	4067
179	888	4048
180	890	4028
181	891	4008
182	893	3988
183	894	3968
184	896	3948
185	901	3944
186	902	3924
187	903	3904
188	905	3883
189	906	3864
190	907	3844
191	908	3824
192	910	3805
193	911	3786
194	912	3766
195	913	3748
196	915	3731
197	917	3714
198	918	3697
199	919	3679
200	921	3661
201	922	3643
202	925	3634
203	927	3618
204	928	3601
205	929	3583
206	931	3568
207	932	3551
208	933	3534
209	935	3517
210	936	3501
211	939	3492
212	941	3478
213	942	3463
214	944	3447
215	946	3434
216	947	3418
217	948	3402
218	949	3387
219	951	3371
220	954	3365
221	956	3350
222	957	3336
223	958	3321
224	960	3306
225	961	3292
226	962	3277
227	963	3263
228	965	3249
229	968	3242
230	970	3229
231	971	3216
232	973	3204
233	974	3191
234	976	3178
235	977	3166
236	979	3153
237	981	3143
238	983	3130
239	984	3118
240	986	3106
241	987	3094
242	989	3081
243	990	3070
244	995	3067
245	997	3056
246	998	3044
247	1000	3032
248	1001	3021
249	1003	3010
250	1004	2998
251	1008	2994
252	1010	2983
253	1012	2972
254	1013	2962
255	1015	2950
256	1016	2939
257	1018	2928
258	1019	2917
259	1025	2918
260	1027	2908
261	1028	2897
262	1031	2891
263	1033	2881
264	1035	2871
265	1041	2872
266	1043	2863
267	1044	2853
268	1046	2843
269	1048	2833
270	1049	2823
271	1051	2813
272	1053	2804
273	1054	2795
274	1056	2785
275	1058	2775
276	1059	2766
277	1061	2756
278	1069	2763
279	1071	2755
280	1073	2747
281	1075	2738
282	1078	2733
283	1081	2726
284	1083	2717
285	1084	2708
286	1086	2699
287	1088	2690
288	1089	2680
289	1094	2679
290	1096	2670
291	1098	2662
292	1099	2653
293	1101	2644
294	1103	2636
295	1109	2638
296	1111	2631
297	1113	2622
298	1114	2612
299	1116	2605
300	1117	2595
301	1118	2586
302	1122	2582
303	1124	2574
304	1125	2564
305	1126	2555
306	1128	2546
307	1129	2537
308	1130	2528
309	1131	2519
310	1133	2510
311	1136	2506
312	1138	2498
313	1139	2488
314	1140	2479
315	1141	2471
316	1143	2462
317	1144	2454
318	1145	2445
319	1146	2437
320	1150	2434
321	1152	2426
322	1153	2418
323	1154	2409
324	1156	2401
325	1157	2393
326	1159	2386
327	1160	2377
328	1163	2373
329	1165	2365
330	1166	2358
331	1167	2349
332	1169	2341
333	1170	2333
334	1171	2326
335	1173	2318
336	1174	2310
337	1175	2302
338	1177	2295
339	1178	2287
340	1180	2280
341	1181	2273
342	1183	2266
343	1184	2259
344	1186	2252
345	1190	2249
346	1191	2242
